Code,city,lat,lon,traffic,airport
AVP,Wilkes-Barre/Scranton,41.33814944,-75.7242675,112,Wilkes-Barre/Scranton Intl
GTR,Columbus-Starkville-West Point,33.45033444,-88.59136861,112,Golden Triangle Regional
GCC,Gillette,44.34889806,-105.5393614,112,Gillette-Campbell County
EWN,New Bern,35.07297222,-77.04294444,112,Craven County Regional
AGS,Augusta,33.369955,-81.96449611,112,Bush 
FSM,Fort Smith,35.33659028,-94.36744111,112,Fort Smith Regional
TYR,Tyler,32.35413889,-95.40238611,110,Tyler Pounds 
HLN,Helena,46.60681806,-111.9827503,108,Helena Regional
GTF,Great Falls,47.48200194,-111.3706853,108,Great Falls Intl
MEI,Meridian,32.33313333,-88.75120556,104,Key 
MQT,,46.353639,-87.395361,104,Marquette County Airport
TEX,Telluride,37.95375861,-107.90848,104,Telluride Regional
CHA,Chattanooga,35.03526833,-85.20378778,104,Lovell 
LWS,Lewiston,46.37449806,-117.0153944,102,Lewiston-Nez Perce County
CDC,Cedar City,37.70097028,-113.098575,96,Cedar City Muni
ALB,Albany,42.74811944,-73.80297861,93,Albany Cty
BTV,Burlington,44.47300361,-73.1503125,91,Burlington International
FCA,Kalispell,48.31140472,-114.2550694,90,Glacier Park Intl
MLB,Melbourne,28.10275,-80.64580556,74,Melbourne International 
DAB,Daytona Beach,29.17991667,-81.05805556,72,Daytona Beach International
ABE,Allentown,40.65236278,-75.44040167,60,Lehigh Valley International
DLH,Duluth,46.84209028,-92.19364861,58,Duluth International
CYS,Cheyenne,41.1557225,-104.8118381,56,Cheyenne
RKS,Rock Springs,41.5942175,-109.0651928,56,Rock Springs-Sweetwater County
LWB,Lewisburg,37.85830556,-80.39947222,56,Greenbrier Valley
CRW,Charleston,38.37315083,-81.59318972,56,Yeager
BLI,Bellingham,48.79275,-122.5375278,56,Bellingham Intl
MMH,Mammoth Lakes,37.62404861,-118.8377722,56,Mammoth Yosemite
ATW,Appleton,44.25740806,-88.51947556,56,Outagamie County Regional
BKG,Hollister,36.385913,-92.548828,56,Branson Airport
PIE,St. Petersburg,27.91076333,-82.68743944,52,St. Petersburg-Clearwater International
SPS,Wichita Falls,33.98879611,-98.49189333,50,Sheppard AFB/Wichita Falls Municipal
FAY,Fayetteville,34.99147222,-78.88,50,Fayetteville Municipal
EAU,Eau Claire,44.86525722,-91.48507194,48,Chippewa Valley Regional
DBQ,Dubuque,42.40295944,-90.70916722,48,Dubuque Municipal
RST,Rochester,43.90882639,-92.49798722,37,Rochester International
UTM,Tunica,34.681499,-90.348816,32,Tunica Municipal Airport
BIL,Billings,45.8076625,-108.5428611,23,Billings Logan Intl
